topic,query,title,url,timestamp,search_depth
public perception of vaccines,site:facebook.com vaccine misinformation,Vaccine Watch: Battling vaccine misinformation | With weeks to go ...,https://www.facebook.com/ABCNews/videos/vaccine-watch-battling-vaccine-misinformation/4161753597173255/,2024-11-30T16:46:09.827546,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Mark Zuckerberg on Facebook vaccine misinformation | Gayle King ...,https://www.facebook.com/CBSThisMorning/videos/mark-zuckerberg-on-facebook-vaccine-misinformation/632901914385176/,2024-11-30T16:46:11.166865,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,"The Full Fact Podcast | Vaccine Misinformation | ""We're not ... - Facebook",https://www.facebook.com/FullFact.org/videos/the-full-fact-podcast-vaccine-misinformation/223151636042373/,2024-11-30T16:46:12.551355,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,White House outlines proposals to stop vaccine misinformation on ...,https://www.facebook.com/ABCNews/videos/white-house-outlines-proposals-to-stop-vaccine-misinformation-on-facebook/1570837179927430/,2024-11-30T16:46:14.060713,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Fighting COVID-19 Vaccine Misinformation on Facebook and Instagram ...,https://www.facebook.com/business/news/how-facebook-addresses-covid-19-misinformation/,2024-11-30T16:46:25.179852,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Vaccine shedding explained | There has been lots of misinformation ...,https://www.facebook.com/bbcnews/videos/vaccine-shedding-explained/350989636565760/,2024-11-30T16:46:26.335465,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,White House outlines proposals to stop vaccine misinformation on ...,https://www.facebook.com/ABCNews/videos/white-house-outlines-proposals-to-stop-vaccine-misinformation-on-facebook/345748763805744/,2024-11-30T16:46:28.316912,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,GOOGLE ROLLS OUT FEATURE TO TACKLE MISINFORMATION ABOUT ... - Facebook,https://th-th.facebook.com/News9live/videos/google-rolls-out-feature-to-tackle-misinformation-about-covid-19-vaccines/613970049337419/,2024-11-30T16:46:29.279335,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,11K views · 158 reactions | Vaccine Misinformation | Vaccine ...,https://www.facebook.com/OHdeptofhealth/videos/vaccine-misinformation/354341602964547/,2024-11-30T16:46:30.087484,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Need to debunk misinformation?... - Voices for Vaccines - Facebook,https://www.facebook.com/VoicesForVaccines/posts/816952247318636/,2024-11-30T16:46:31.407673,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Meta's Investments in Fact-Checking - Facebook,https://www.facebook.com/formedia/blog/third-party-fact-checking-industry-investments/,2024-11-30T16:46:32.988002,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Don't Fall For Misinformation About Covid-19 Vaccines! - Facebook,https://pt-br.facebook.com/europeanparliament/videos/dont-fall-for-misinformation-about-covid-19-vaccines/1471595076535066/,2024-11-30T16:46:34.182551,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Don't Fall For Misinformation About Covid-19 Vaccines! - Facebook,https://es-es.facebook.com/europeanparliament/videos/dont-fall-for-misinformation-about-covid-19-vaccines/1471595076535066/,2024-11-30T16:46:35.321908,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Why we need to fight misinformation about vaccines,https://www.facebook.com/TED/videos/why-we-need-to-fight-misinformation-about-vaccines/1656016955052977/,2024-11-30T16:46:36.885637,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,COVID-19 Vaccine Myths vs. Facts with Dr. Mark Shalauta - Facebook,https://www.facebook.com/scrippshealth/videos/covid-19-vaccine-myths-vs-facts-with-dr-mark-shalauta-san-diego-health/170145598547997/,2024-11-30T16:46:37.723187,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,"BIAS Investors - ** This is not a paid ad ** Dear all,... - Facebook",https://id-id.facebook.com/BIASInvestors/posts/-this-is-not-a-paid-ad-dear-all-in-light-of-recent-events-in-the-usa-but-also-ar/3018232581591819/,2024-11-30T16:46:38.551436,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Promoting authoritative information about COVID-19 vaccines - Facebook,https://www.facebook.com/formedia/promoting-authoritative-information-about-covid-19-vaccines/,2024-11-30T16:46:39.442652,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Together Against Covid-19 Misinformation: A New Campaign in ...,https://business.facebook.com/formedia/blog/together-against-covid-19-misinformation-a-new-campaign-in-partnership-with-the-who/,2024-11-30T16:46:41.536903,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Together Against Covid-19 Misinformation: A New Campaign in ... - Facebook,https://www.facebook.com/formedia/blog/together-against-covid-19-misinformation-a-new-campaign-in-partnership-with-the-who/,2024-11-30T16:46:42.830573,advanced
public perception of vaccines,site:facebook.com vaccine misinformation,Dr. Andrea Love - Misinformation about food ingredients... - Facebook,https://www.facebook.com/dr.andrealove/posts/122192139566208898/,2024-11-30T16:46:43.645636,advanced
